Node No,K value,Freequency,Avg pathloss(dB),Avg signal power(dBm),Delay,Packet loss
3,4,1310,49.3109,8.09327,0.153568,275
1,4,1320,0,0,0.168656,321
2,4,1320,39.8183,6.99779,0.151808,284
3,4,1320,49.3143,5.17894,0.155488,277
1,4,1330,0,0,0.168272,321
2,4,1330,48.7136,7.96036,0.151072,278
3,4,1330,43.8097,6.14389,0.156608,282
1,4,1340,0,0,0.169248,321
2,4,1340,47.2391,7.46962,0.14944,277
3,4,1340,46.5335,6.79956,0.153648,280
1,4,1350,0,0,0.16872,321
2,4,1350,48.7368,6.56878,0.152256,278
3,4,1350,43.849,8.51796,0.156736,280
1,4,1360,0,0,0.169248,321
2,4,1360,48.4004,6.71194,0.148512,276
3,4,1360,49.6516,7.41899,0.156032,275
1,4,1370,0,0,0.169248,321
2,4,1370,47.9567,7.15721,0.15016,277
3,4,1370,47.6333,8.1801,0.154112,277
1,4,1380,0,0,0.169248,321
2,4,1380,47.9567,7.15721,0.15016,277
3,4,1380,47.6333,8.1801,0.154112,277
1,4,1390,0,0,0.169248,321
2,4,1390,48.7674,7.4933,0.155424,275
3,4,1390,44.207,7.11797,0.15648,280
1,4,1400,0,0,0.169248,321
2,4,1400,47.9967,7.87494,0.15424,277
3,4,1400,50.0122,8.75263,0.154304,275
1,4,1410,0,0,0.169248,321
2,4,1410,46.8838,7.18928,1.157712,278
3,4,1410,45.6634,8.19341,0.154112,279
1,4,1420,0,0,0.169248,321
2,4,1420,49.0434,8.81828,0.1564,276
3,4,1420,46.709,8.18508,0.155808,278
1,4,1430,0,0,0.169248,321
2,4,1430,48.8037,6.6325,0.156,277
3,4,1430,46.9255,5.8377,0.155472,278
1,4,1440,0,0,0.169248,321
2,4,1440,45.8547,5.36046,0.157984,280
3,4,1440,44.3461,7.10466,0.159344,280
1,4,1450,0,0,0.169248,321
2,4,1450,45.6651,5.33573,0.158768,279
3,4,1450,43.1749,7.59674,0.157296,279
1,4,1460,0,0,0.169248,321
2,4,1460,41.1841,6.27583,0.161136,283
3,4,1460,45.6691,5.92084,0.157792,279
1,4,1470,0,0,0.169248,321
2,4,1470,41.0299,8.10005,0.157264,282
3,4,1470,43.36,7.40644,0.161152,283
1,4,1480,0,0,0.169248,321
2,4,1480,43.6122,5.49899,0.156992,281
3,4,1480,48.0865,8.28375,0.158368,277
1,4,1490,0,0,0.169248,321
2,4,1490,39.6645,7.28582,0.161152,284
3,4,1490,43.7295,7.54337,0.159104,281
1,4,1500,0,0,0.169248,321
2,4,1500,44.9284,8.79794,0.159872,280
3,4,1500,48.2183,10.1986,0.161712,277
1,4,1510,0,0,0.169248,321
2,4,1510,39.4888,7.02307,0.159488,283
3,4,1510,39.8837,8.30259,0.15936,284
1,4,1520,0,0,0.169248,321
2,4,1520,47.19,7.96393,0.15896,282
3,4,1520,44.9171,7.56614,0.159744,280
1,4,1530,0,0,0.169248,321
2,4,1530,41.3057,7.87199,0.162176,282
3,4,1530,43.9603,6.84952,0.158912,281
1,4,1540,0,0,0.169248,321
2,4,1540,43.7588,8.95195,0.161236,283
3,4,1540,42.2471,7.45023,0.161728,284
1,4,1550,0,0,0.169248,321
2,4,1550,43.8375,6.72664,0.159248,285
3,4,1550,36.7075,7.03486,0.160816,288
1,4,1560,0,0,0.169248,321
2,4,1560,41.3778,6.7095,0.162784,284
3,4,1560,42.8013,8.2078,0.162656,282
1,4,1570,0,0,0.169248,321
2,4,1570,46.577,8.70094,0.162384,280
3,4,1570,44.0958,8.42991,0.161456,281
1,4,1580,0,0,0.169248,321
2,4,1580,44.0974,7.51228,0.16304,285
3,4,1580,42.7581,6.72574,0.162784,284
1,4,1590,0,0,0.169248,321
